NAME,RATING,DATE,REVIEW
RAdams,4.0 out of 5 stars,"Reviewed in the United States on August 28, 2021","A lot of early reviews describe the ANC (Automatic Noise Canceling) for the Buds 2 as ""meh."" Fair enough, this is my first experience with that technology so I don't have any other frame of reference so bear that in mind. I'm confident that over the ear headphones most likely the best. But these are buds - how much can they do? Do you really want to wear heavy headphones as you mow the yard?

Here are my observations comparing Galaxy Buds 2 to my old $20 wired cheapies.

1) I ran a noisy, everyday box fan and turned on ANC. It easily halved the volume from that. It almost seemed like I'd remotely turned off the fan.

2) I started and ran the lawn mower and then turned on ANC. It easily halved the volume. I still heard it, but it was much quieter.

3) A couple times cars drove down the street in front of my house while the mower was off. I didn't hear them at all.

4) If I put my head in front of the fan I could hear a windy/buffeting sound just like any other buds. Just like when my lazy coworkers call me from the golf course and assign my extra duties. You know what I'm talking about.

Yes, I could still hear the fan and the mower, but I was able to turn down the volume of my podcast quite a bit to hear clearly. I'm really attracted to the idea of listening at a lower volume to protect my hearing.

I'm sure it's too late for anybody to read this review amongst the thousands already written, but I'll update it tomorrow after I run my line trimmer, edger & leaf blower while taking care of yardwork for any of you weirdos who have an interest in that.

TLDR: No, it's not the ""cone of silence"" from Get Smart but it's worthwhile.

-- Just a regular guy - not a cynical perfection-seeking professional reviewer comparing it to tech 4x as expensive."
corgi,4.0 out of 5 stars,"Reviewed in the United States on July 18, 2023","Been using these earbuds for about a year now and I can say that these sound really good for the price. The sound is pretty neutral compared to my Tin t3+ iems but is still enjoyable. The fit of the earbuds for me were pretty loose, even after trying all the ear tips that came with it. The earbuds would just slowly slip out of my ears, especially when exercising / sweating. I would say that if the earbuds fit in your ears, then its an excellent option for the price."
David White,5.0 out of 5 stars,"Reviewed in the United States on October 24, 2023",Qualify
Phillip Lewis-Emmer,4.0 out of 5 stars,"Reviewed in the United States on July 5, 2023","This was the next generation of their earbuds. I was satisfied with the prior set, but they were beginning to charge unevenly.

Playback of recorded media has a fuller sound, better bass handling, and the earbuds stay charged longer. However, callers report a diminished pickup on the microphone, and I've already tested them with different noise settings.

I have an old Jabra single-ear unit, and the mic is far better. While I seldom shout at the phone (and don't hold it out like a piece of toast), the caller feedback still demonstrates a lack of sensitivity on the ports."
Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on October 17, 2023","I love Samsung. Product works great, no complaints."
Jeremy Meadows,5.0 out of 5 stars,"Reviewed in the United States on August 18, 2023","The buds came quickly, were in great shape appearance wise, but as I tried them out, the right side seems to have a blown speaker. Or at least it sounds like it. The left works great while the right is crackling like a car speaker would when it is blown. Will update after trying to remedy the situation.***** UPDATE *****seller is refunding me for the product that was malfunctioning. The earbuds were great as far as looks and feel. I really wish they'd have been ok but I have to raise my review from 1 star to 5 stars based on the prompt response I got from the seller about the return. I would buy from them again."
Alexjanntt Alviarez,5.0 out of 5 stars,"Reviewed in the United States on September 11, 2023","I just wish that they would have specified that the charging case and the earbuds are 2 different colors. I was a bit upset that the charging case is white and the earbuds are gray. Other than that very good, that you have the option to either use or decline the noise canceling feature. Make sure that you download the Galaxy Wearable and have the most current update."
ZenJinTen,5.0 out of 5 stars,"Reviewed in the United States on September 7, 2023","They last, they're durable and endless endurance Battery that work for ever. Connecting to devices was seamless. Especially when connecting to a samsung products. 360 sound is WOW, i like it huh, the sounds is like it coming from the connecting device. [Golf clap] to samsung on that feature. Fit perfectly in my ears. Lost them plenty of times and finding them like was like looking for babe the blue ox in a spilled cup of water."
Doug B.,4.0 out of 5 stars,"Reviewed in the United States on March 24, 2023","...could be better. I got these bc I needed some earbuds that could be used in loud environments on phone calls. The person(s) on the other end said the background noise on my side is not that bad so that area of noise cancelation is excellent. Noise cancelation on my side is incredible. The sound quality is fantastic. I listen to a lot of smooth jazz and the acoustics are excellent. The shape of the buds makes them difficult to remove. They're easily dropped when finally removed. The battery life is ok. I typically wear one unless on a call so I'm able to stretch my battery life. The battery for 1 earbud will be at 10 to 15% by 1130a if used constantly from 7a to 1130a. I assume they both would be dead if used together. Especially if the noise cancelation is on. The ambient noise filter is pretty cool. It would be better if closer sounds would be amplified. Using it, I can't hear a person that's talking right next to me very well. Overall, they're a great choice. I recommend."
Stephanie,3.0 out of 5 stars,"Reviewed in the United States on December 2, 2022","Pros: I have very small ears and the lower size buds were great for that.
These are extremely comfortable as I use these at work for many hours at a time.
The ear detection works really well for taking them out when I need to talk with a coworker it will pause nearly immediately.
This may be trivial but I like the clamshell case and the earbuds go back into it for charging fairly easily.
I'm not a snob for sound quality as I normally only use 1 earbud at a time in case I need to talk to someone at work but it seems very clear and there's very little ""coil whine"" like sound from some cheaper earbuds.
The noise cancellation on these is actually really really good. Very similar to using over ear headsets.

Cons:
They don't have the best grip compared to some of the other earbuds I've used so for hard exercise or a lot of movement they will probably fall out.
The battery life seems like it works for each ear for about 6 hoursish which is about a workday for me if I have them charging during interruptions or breaks at work. I wish it was a little longer so I wouldn't have to remember to charge mid day.
My earbuds had a sound quality issue that I'm hoping will get repaired. They're currently on the way to Samsung for repair. It started with my right ear buds max volume output being almost impossible to hear. You couldn't make out most words in videos or lower tones in songs. When this happened I also noticed that the buds would make a screeching sound if I had both buds in at the same time with either the noise cancelling or ambient noise setting on. This occurred even at 0 bluetooth volume. I then only used the left side for a few months before the same issue happened to it as well leaving me with unworkable ear buds and causing me to send them in. For those that are experiencing this issue I wish you luck resolving it as I've tried cleaning them and reinstalling the Samsung wearable app. This is not an issue with my other earbuds. I'm hoping that I just got a defective set and Samsung will get me a working pair.
Overall:
Unfortunately, their very few buds for people like me with small ears and I like the versatility of these buds. I hope the ones that I got were just defective and that others enjoy these earbuds."
Karen Stafford,5.0 out of 5 stars,"Reviewed in the United States on September 29, 2023",I have not idea how many ear buds I've tried over the years but these stay in my ears better than any others I've used.
"Bjeezus, Detroit",5.0 out of 5 stars,"Reviewed in the United States on October 9, 2023",Liked everything about them
Excellent,5.0 out of 5 stars,"Reviewed in the United States on October 16, 2023",Best
Stefany,5.0 out of 5 stars,"Reviewed in the United States on September 25, 2023","I went on a motorcycle ride for 2 days, used them the 1st day for over 8 hours and they remaining battery was 40 %. These are amazing"
Luv'N Lambert Life,4.0 out of 5 stars,"Reviewed in the United States on July 15, 2023",I had Samsung earbuds previously but they began to drop out during use so I bought these as a replacement. They’re similar in shape but these fall out my ears easier than the old ones. The smoothness tend to make them slip on me. The sound is amazing though and they are otherwise comfortable when they stay in.
Loriana Hines,3.0 out of 5 stars,"Reviewed in the United States on November 6, 2023","These do not fit in my ears. If I smile, chew, or simply go for a walk, they will dislodge and need to be put back in. This is very annoying because every time I readjust them, I end up accidentally pausing my music or hitting another button. I have to adjust them every few minutes."
Leo,3.0 out of 5 stars,"Reviewed in the United States on October 17, 2023","I like the sound quality and battery life is decent, however the ergonomics are really bad for even a light workout. The buds start to slip away after a bit of movement and sweat, and when I try to fix their position, it's like moving slippery icicles in my ears. The best design was Galaxy Buds+, and I'm not happy with this generation's ergos at all. Noise cancellation is decent for static noise (airplane etc), but it overcompensates for any short or loud sounds like a blender, hammer or chainsaw."
Amazon Customer,1.0 out of 5 stars,"Reviewed in the United States on May 7, 2022","I had and loved the samsung galaxy buds plus for around the two years I owned them, and the only reason that I purchased this model was because they got stolen, as I saw this model was a generation newer and was on sale for cheaper than the listings of the original samsung galaxy buds plus. This turned out to be one of the worst mistakes I made and I should have read more reviews than trusting that they couldn't mess up a pair of earbuds that badly when the first generation were very good (imo).

First talking about the postitives: the sound quality is very good, the bluetooth connection both with samsung and windows devices is very quick and easy, and the samsung integrations with my phone (samsung s9) are pretty good.

However, in no way would I recommend buying these earbuds at all. Here are the negatives I noticed in under 4 months of somewhat frequent use:
Firstly (and most importantly in my opinion), the in ear fit is absolute garbage. I tried using all three of the provided ear tips and with all of them if I so much as looked downwards, the earbuds would start to slip out of my ears. The original buds plus a rubber wing of sorts on them to help the earbuds stay in your ear, but it seems like for some reason they chose to make the design look more aesthetically pleasing, leading to there being nothing except the silicon ear tip to help it stay in your ear. I tried to place the earbuds in every orientation in my ears, attempting to brace the earbuds somewhere to keep them from falling out of my ears to no avail. Keep in mind this happened through simple movements like lowering my head to chop vegetables in the kitchen or just simply walking forwards, it would only take under a couple of minutes for me to have to readjust the earbuds in my ears to keep them from falling out.
This readjusting would then lead to it pausing whatever I was listening to since they must have increased the touch sensitivity for these earbuds, because it would register a touch even if I touched the earbuds with my shoulder even when I was wearing a sweatshirt. I'm not including this as a distinct negative I noticed, as some people might appreciate the increased touch sensitivity, as it can even register touches when wearing gloves in my experience, but in combination with having to readjust the earbuds every couple of minutes from them slipping out of my ears it did become an annoyance.

Secondly, the reliability/durability of the earbuds is also garbage. Within 3 months of use, the left earbud flat out stopped working, I was doing some work in a workshop (cutting wood and metal) and I heard some static coming from the left earbud before it stopped outputting volume entirely. With only an IPX2 rating for dust/water protection maybe some sawdust or metal particles got in the earbud and shorted something out, but it wasn't a ridiculous amount of particles I was spraying everywhere, so for it to fail within 3 months of purchase is just unacceptable for earbuds which are supposed to be for daily use.
I tried updating the samsung app, using it with three other devices, and making sure that both the earbuds and the case were fully recharged, nothing fixed the left earbud, which is even more disappointing because that was the one that fit slightly better in my ear (only requiring readjusting every 5-10 minutes as opposed to around 3-5 minutes on the right ones).

Thirdly, the case is very annoying, as any time you drop the case, it opens, sending the earbuds flying out across the floor. This might have been a personal problem, as I usually kept the case in my pocket along with my keys, but occasionally when I would pull out my keys the case would come tumbling out along with them, leading to me having to search the surrounding floor for where the headphones had flown off to.

In conclusion do not buy, the sound quality is good and the ANC is fine (albeit not great since the in-ear fit doesn't fully isolate incoming sound), but the in ear fit and durability of these make them utterly unusable for even the simplest tasks much less something like use in exercising where the earbuds will fall out even more."
N. Ard,4.0 out of 5 stars,"Reviewed in the United States on July 23, 2023",They sound great and the anc works pretty well to cut grass with. Mine act weird about tapping though. If I ever tap on the left earbud the right will no longer work. Assume it's a software issue.
sheila nguyen,4.0 out of 5 stars,"Reviewed in the United States on July 12, 2023","I have small ears and so alot of earbuds hurt me. I was able to wear these for hours no pain. I Love how you could change the audio to noise canceling or allow ambient noise. I could only get the tap function to stop music but not skip, haven't tried for calls yet."
Mike McCourt,4.0 out of 5 stars,"Reviewed in the United States on August 8, 2023",Great when mowing the lawn with out using the big set of headphones.
Arianna,4.0 out of 5 stars,"Reviewed in the United States on September 11, 2022","20 min usage review. I will update if anything changes.

I've tried 3 other much more expensive pairs of ear buds (bose, apple, Sony) before landing on these. The others would hurt my head, L ear, and trigger migraines, which I rarely get. Some you couldn't turn noise processing off. These samsung ones cause a very small amount of pain near the left ear, but it is bearable, which I'll take for the convenience of buds. You can also adjust the ambient noise volume, and turn off processing completely. The ambient mode sounds natural and there's next to no latency unlike I noticed on higher end buds. Controls are intuitive.

Additionally, the design is sleek and feels well built. The material feels like airpods through and through, which I love. It's portable and not clunky, easy to open and close. The small size is very comfortable and easy to insert.

The audio quality is great. It has crisp highs, decent lows. It's better than my bose soundlink, although those have literally been dragged through the mud multiple times, so take that with a grain of salt.

Small complaint: it didn't come with a USB c charger like it said. (I ordered refurbished)

Update: still love the buds. Some minor complaints: ears get itchy sometimes, buds get warm occasionally, buds may play music when you're adjusting the bud due to the tap, but these can be changed in settings. Tap is on both sides (annoying for adjusting). Mic works well as far as I can tell. Great battery life. Buds kind of stick together due to magnet which is good if you're setting down."
Lourene,5.0 out of 5 stars,"Reviewed in the United States on June 30, 2023",This would be my second set of Samsung ear buds. I was perfectly satisfied with my last ones until they fell out of my pocket and I didn't realize that one fell out. So I was now missing one. This new set and I believe maybe two generations removed from my prior set the sound quality is 100% better. I don't have to turn the volume up nearly as loud and the quality is perfect. I usually listen with only one in at a time so that I can switch them out and it's amazing the difference. If I use both at the same time I'm lost to the noise around me. That wasn't the case with the previous pair. The fit it finaminal and I'm not worrying about them falling out of my ears all the time either.
t,4.0 out of 5 stars,"Reviewed in the United States on June 15, 2023","I bought these when I thought I lost my creative buds.
I love the fit and the app. Very comfortable and hides well in my ear. The noice cancelling works well enough at work.
The battery life sucks. I turn them on around 6am and by 11am, they are dead. My cheeper creative buds last all day.
I will keep these since they will be more comfortable when I ride my bike with a fullface."
Amazon Customer,4.0 out of 5 stars,"Reviewed in the United States on March 20, 2023","I am on the great quest for the right earbuds. I have tested 10 brands or more. The best i have found for call quality (i use these for phone conversations frequently) is the space A40......BUT, earbuds from this company tend to have connection issues in their charging case after a few months use (this is the second time in ~8 months with 2 different models i have had this issue). I bought a set of galaxy bud pros but they were a little too big for my ears. so, i read these were smaller. these are probably the most comfortable set i have tried from any mfg, but unfortunately i was told the mic/voice/call quality was not that good.....so, back to testing and trying to find the right pair."
Jolly Green,4.0 out of 5 stars,"Reviewed in the United States on April 29, 2023","After about a year of use in all conditions I can safely say that these are good, especially if you use a Samsung device. At least for standard earbuds, they are great. The touch function works as expected, you can customize the multi tap feature, and it works with third party music applications.

Now for the most glaring problem: once you activate the noise canceling or ambient pass through, there seems to be a level of either compression or something that makes music and sound hard to hear without static. It's terrible. I don't even use the function.

TL:DR good sound, bad nose cancelation"
Zharia Spann,5.0 out of 5 stars,"Reviewed in the United States on August 31, 2023",I never had an issue with these. You can really tell when the noise cancellation is on or not. It's comfortable in my ear. It does include different earpiece sizes if you have larger ear canals or smaller ones like me. When I smile or laugh the earbud does shift but I have gotten used to it. There are honestly no complaints.
EAngel,5.0 out of 5 stars,"Reviewed in the United States on May 30, 2023","The case is small (smaller than airpods pro) and very portable. I was skeptical at first when buying these since I have been using airpods pros for a long time. However, these earbuds are amzing to say the least. I thought the price was going to make these earbuds sound bad but complete opposite. The sound is great (i'm not a sound genius) but when I first used them with my iphone they sounded really good. They also come with different tips and stay on my ear. The only bad thing I would say is the case feels cheap and if you have an iphone, you can't really change the settings of the earbuds (NC vs Ambient sound) compared to having an android device. I used these for both iphone and samsung galaxy s8+ and love the app that allows me to change the settings.

overall, I would recommend these earbuds. Definitely worth the price and doesn't sound much different than the $250 airpods pro SMH."
cat_mom90210,4.0 out of 5 stars,"Reviewed in the United States on October 16, 2022","iPhone13 user here, I needed something temporary because my beats over ear wireless were hurting my ears & very uncomfortable. Saw these and decided to try them.

I’ve had AirPod pros previously & these are a disappointment when it comes to noise cancellation with in ear headphones! I can still hear everything it’s just muffled. I did the fit test in the app on my android when setting up. I am however very pleased with the fitment of them! Having small ears these are the most comfortable & best fitting earbuds I’ve ever had.
I would personally never pay full price for these. I purchased in the “used” condition but the buds themselves looked to be untouched as well as the accessories.

The battery life sucks compared to the AirPod pros they die fairly quick even when not in use but in my ears with ANC off.

Also beware if you’re using with apple products you you may benefit from setting up on an android to play with settings etc, so if you have an android phone/tablet you can use to download the app and adjust some things then you’ll be good to go.

The iPhone app is only compatible with the Buds live & buds plus so that sucks lol. These are great for me temporarily."
cindy a,4.0 out of 5 stars,"Reviewed in the United States on July 18, 2023",No charger block & box doesn't really state it doesn't come with it 😅 so now I have to find/ buy one
Jared Lovelady,3.0 out of 5 stars,"Reviewed in the United States on December 8, 2022","I tried all the tips. These things are simply just too big if you don't have large ear canals. I tried watching a video and even read hot to insert them properly. That wasnt the issue.
Even when I used the app and got it to say the fit ""was good"" they would fall out while sitting at my desk within minutes. God forbid I even tried to walk around with them and any time I bent down I could instantly feel them staying to slip out.

Additionally, the sound is pretty good, but if you use the ambient sound, even on low, it's echo-y. Having a washing machine or dryer on and ambient on low makes it sound like the washer and dryer are in front of my face vs in the other room 20 feet away. Every breath I take on low ambient is loud and distorted. I'm not a loud breather.

Noise cancellation is just okay, but not amazing. Maybe it's because they're too big for my ear canals? When the ambient sound is off the sound quality is decent. However, it's disturbing that you can't tell left from right ears via sound like normal headphones. It's like the sound is inside your head and it's almost disturbing.

The music or podcasts stopping when you remove the earbuds is great. The tapping them to play or double tapping them to go to the next one is great. They are very responsive. The look of them is nice and they seem sturdy/quality, not cheap. For all that I'll give 3 stars. They are bulky and a lot larger in size than I imagined as well - not talking about the ends that fit in your ears, but the actual buds themselves don't really even sit fully inside the ear bends themselves. I'm an average sized person,5'8"". If you're petite these probably aren't going to work for you.

These are just not for me and I was so excited about them. I tried them several times, multiple hours, over 4 days trying to hopefully get them to be okay for me, but they just aren't."
Evan,5.0 out of 5 stars,"Reviewed in the United States on June 24, 2023","I upgraded to these while they were at a discounted price of $100. Very comfortable. They're affordable even without the discount. The sound quality is really good. It's hard for these to fall out of my ears. Definitely worth it if you're trying to match with your Samsung Galaxy. They work well together and since they are built for Samsung devices, the sound quality is better and they are easier to work with. The noice cancellation feature works really well, as well as the ambient sound. My main problem regards the touch controls. They work good otherwise, but the spot to use the touch controls is not defined at all. This means that you'll have trouble pushing the button before it responds. This isn't a very big deal, but it can lead to some very awkward public interactions if someone needed your attention. This is my experience, though."
CHRISTOHER DANIEL LOSH,3.0 out of 5 stars,"Reviewed in the United States on October 8, 2023","The day the galaxy buds2 arrived, I was completely satisfied. However, on day two, the volume in the left bud went very low and would not go up. Now there is only an almost inaudible beep and crackling in the left bud. Im nearly 50 and these were the first wireless earphones I've ever tried. I suppose I'll be going back to the wired standard."
R. Thomas,3.0 out of 5 stars,"Reviewed in the United States on February 24, 2022","I'm upgrading from a three year old cheep pair of earbuds. I went from 30 minutes of battery life to 5 hours on one charge. The sound quality is good but nothing special. I do like that you have several equalizer settings on the app. I could barely tell the difference between the ANC on or off. It has the hardware for ANC but it isn't good. The majority of the noise cancelation comes from simply having the headphones on. I have a seven year old pair of Bose QuietComfort 20 and you can easily tell when ANC is on or off. I haven't really used the ambient sound setting but it seems ok. The fit is good but they do shift out a little when I move my face muscles, like smiling or yawning. Regardless of the shifting, they haven't fallen out at all. Honestly I feel like the only noticeable differences between these and my old buds is the battery life and Bluetooth range. Overall they are unremarkable. I'm sure you could find a comparable quality pair of buds for half the price. I got mine used, so they cost half the price.

Update. It's been several months since my original review. Running with them is ok but I usually turn off the touch controls since I have to constantly have to keep pushing them back in. The touch functions can be too sensitive at times, especially when all you're trying to do is push them back in. I always try to just touch the top and bottom but somehow I still touch the middle. Using them for calls or while eating will cause them to slowly push out of your ear so I constantly have to push them back in. I've accidently hung up on people several time because of this. I tried using the Labs edge tap for volume, It sucks. If I'm talking or eating it will chance the volume randomly. I'm aware that it is caused by my ear touching the sides while I'm chewing or talking but it's still sucks. Going back to the ANC, It does work in certain situations. It works ok for the train but not a mower in the distance. It can muffle a fan but not a vacuum.

Why did I keep them? Even with all the things I don't like they are much better than my old earbuds. I like the equalizer and that they are a Samsung product that seamlessly pairs with my Samsung products. They work well with most of my Bluetooth capable devices. Would I recommend them? All I can say is try them for yourself If you can and decide. Thankfully Amazon has a generous return policy."
Robin Dixon,3.0 out of 5 stars,"Reviewed in the United States on July 21, 2022","So, good things about these earbuds first:
1.) they sync up quickly and effortlessly.
2.) The sound quality is really good and you can adjust it with the app on Samsung devices.
3.) You can lay your head on a pillow and the sound will not get muffled like with other cheaper earbuds.
3.) They are very comfortable.
4.) They DON'T do the annoying thing that some Bluetooth headphones do (like my Raycons or Taotronics that I had before these) where they will disconnect for a couple milliseconds every once in a while.

Okay, now some really annoying things which makes me give them 3 stars instead of 5:
1.) THE TOUCH CONTROLS ARE ABSOLUTE GARBAGE. If you have the app, you can change what the taps do, what the sensitivity is, and if you want them to be off or on. I have recently just been keeping them turned off all the time. I love being able to tap my earbuds to pause, long hold to change the volume, etc. However, these stupid earbuds have touch sensitivity instead of actual buttons, which means if you want to adjust your ear buds or take one out to listen to someone or whatever, you will pause your music/podcast/whatever about 75% of the time. Even if you're really careful just to grab the slim, slick edges. And what REALLY irks me is when you're outside and sweaty and your HAIR touches the darn thing, changing songs, blowing your eardrums out by increasing the volume, pausing your media, skipping to the next track UGH. It makes the touch controls completely useless when you are exercising, which is when I want them the most. Why can't companies make earbuds like Raycons with an actual, honest to god button?? These touch controls suck so much.
2.) The last minor gripe I have is that the noise cancelling is just OK. It's not much better turned on than off (and you'll save a lot of battery if it's off). But, when it is on, if you have long hair like me, I guess it brushes up against the mic or something, because every once in a while the earbuds will have a faint static sound in the background while in noise cancelling mode. It's really annoying, so I usually just have NC turned off.

In Summary:
Lots of cool features and good sound quality. Unfortunately, the touch controls are so annoying to use that they're unusable, and the noise cancelling is not good enough to justify the 1hr of battery you'll lose because of it."
jettero shannon,5.0 out of 5 stars,"Reviewed in the United States on January 19, 2023","One day I realized I lost my beloved Galaxy buds. I searched and searched for over two hours, but never found them. I continued to search on and off for several days, randomly lifting pillows, checking pockets of any new pants I put on, double-taking at acorns on bike rides. How I longed for my Galaxy buds!

My life moved on. My bike rides were lifeless. My Zoom meetings were embarrassing. I gave up... After three weeks, I ordered some cheap, poor-sounding alternatives to fill the void in my heart and resigned myself to them until I could stomach ordering a new pair of what I really wanted.

Well, wishes do come true. Just yesterday morning I was carrying my laundry down the stairs before stopping dead. I doubted what I had done. I felt my pockets. No keys. Monkeys! I locked myself out!

I walked a good sixteenth of a mile to the leasing office for my apartment complex to get their creepy master of the key to my home. On my walk back, I absentmindedly glanced down at the earth near one of the 150 parking spaces on my walk back and I kid you not, I saw a gray Galaxy bud sticking halfway out of the dirt. It was my bud!!!!!! I searched and searched and eventually found the second! righty!!!! No way they work, right? It's been three weeks. It's rained two times. There are nightly sprinklers here!

Nope. After a quick charge, they both work FLAWLESSLY. Now I just wish I begged God for world peace..."
Autumn Swift,3.0 out of 5 stars,"Reviewed in the United States on November 12, 2023",$150 for one of the earbuds to start causing problems a month and a half in...
Moonbeams,5.0 out of 5 stars,"Reviewed in the United States on April 29, 2023","After losing my beloved Samsung Buds Plus, I went through a phase of mourning where I just listened to sad songs on my old, wired headphones. But eventually, I realized that life's too short to be tied down by cords, so I decided to give the Buds 2 a chance. And boy, am I glad I did! These babies are like the rebound relationship I never knew I needed. The fit is so perfect, it's like they were made for my ears (which, let's be real, are pretty weird-looking). And the sound? Let's just say I can finally hear all the intricate details of my favorite songs, like the subtle sound of a tambourine or the faint cry of my bank account begging for mercy. The comfort is also top-notch. I can wear them for hours on end without feeling like I'm getting a weird ear massage from an overeager robot. The only issue I have is that sometimes the touch control doesn't seem to understand my commands. But hey, nobody's perfect, right? Overall, I highly recommend the Samsung Buds 2 - they're like a hot new fling that you can't help but fall head over heels for."
Jared Lackey,4.0 out of 5 stars,"Reviewed in the United States on May 29, 2023",As someone who came from using the Galaxy buds plus . So far I find these do have similar battery life and overall great performance and quality. I will say the additional featare absolutely amazing and I find that very helpful. I will say I miss some the inner clips from the Bud's plus that made the your buds feel more secure in the ear. Overall I would definitely recommend this product at the end of the day.
Danielle,4.0 out of 5 stars,"Reviewed in the United States on July 9, 2023",Did the size test and it tested perfect but they immediately slid out for being too big. Switched to smaller covers and they tested bad but stayed in longer.
Steven,3.0 out of 5 stars,"Reviewed in the United States on October 21, 2023","Be careful if you decide to buy this product if you're an IOS user. There is Samsung Galaxy Wearable App support, but that app is only available on the Android version not IOS. You will have basic features like ANC, Pause, Next Song, and that's it."
Paola berm,5.0 out of 5 stars,"Reviewed in the United States on September 23, 2023","Son excelentes, tiene un buen sonido, son cómodos, batería dura bastante"
Brett,4.0 out of 5 stars,"Reviewed in the United States on December 20, 2022","I've had these for 5 months now, and still really like them. I have used these doing yard work, traveling, and at sports events with no complaints. They have multiple ear cup options to help with fitment, and even have fitment testing in the app.

I also love that you can use each bud independently. You don't have to start the right ear and then the left. You can use the right one until it dies, throw it in the case to charge, and put the left one in to keep going.

If I have any issues I'll update but so far I love them.

UPDATE: Still love these earbuds, just wanted to add some real world. Took the fam to an indoor water park, and that is a bit much for these buds. They have to pipe in so much to counter the noise that you hear it, almost like white noise under your audio. No deal breaker for me, just thought I'd share."
Nadine Z,5.0 out of 5 stars,"Reviewed in the United States on September 7, 2023","I love these in every way. They came in perfect cindition work perfectly and fit beautifully as well. No complaints and super pleased with the product. Sound quality, appearance and functionality are all great."
Suzuki-chan Cosplay,5.0 out of 5 stars,"Reviewed in the United States on August 11, 2023","I personally do not like in,-ear ear buds but these are pretty comfortable.

I don't know if maybe I'm using the wrong size but they do have a tendency to fall out or come loose if I turn my head to fast or keep my head on an angle.

Battery is as it days about 4-5 hours per side and I charge the case every 2-3 days (when it hits about 20-30% batter on case."
Gabby b,3.0 out of 5 stars,"Reviewed in the United States on October 6, 2023",They could be nice for the right person if you have small ears they are extremely uncomfortable.
Andrew Dragoset,5.0 out of 5 stars,"Reviewed in the United States on September 4, 2023","The clarity of these headphones are amazing. I've owned many. The range and weight of the are great as well.

The battery performance is amazing, I only charge them every couple weeks."
Cassy Burton,5.0 out of 5 stars,"Reviewed in the United States on September 17, 2023","These are overall great earbuds! Lightweight, holds a charge love the color and quick connect! Highly recommend"
T,4.0 out of 5 stars,"Reviewed in the United States on June 2, 2023",These block out indoor noise but outside there was a bit that was not being blocked out. They are reasonably comfy given I have smaller ears. I had always owned earbuds with a rope attached around my neck so perhaps just an adjustment time for my comfort. The music sound is great.
Santiago,4.0 out of 5 stars,"Reviewed in the United States on May 18, 2023",Every thing feels and sounds great I have a weird shape mold so most ear buds suck on me but these with big ear fit👌. Only thing I don’t like is the battery but I don’t ever listen to music that long anyway. Oh and if you have Apple paired with these you can still use noise cancellation and the spatial thing
B Rich,3.0 out of 5 stars,"Reviewed in the United States on October 23, 2023",I like the product. My previous ones worked great so I got more. I Ordered on here but found cheaper elsewhere. Enjoying the product.
Roger Doran,5.0 out of 5 stars,"Reviewed in the United States on August 25, 2023","Have yet to find better airplane audio - even with the over the ear headphones. These things are brilliant. The sound is clear and rich, the noise suppression is outstanding.

Very slight negative - Can be easy to bump then and pause/unpause accidentally."
Monik,5.0 out of 5 stars,"Reviewed in the United States on September 29, 2023",Me encantan
Harold C. Ackett,5.0 out of 5 stars,"Reviewed in the United States on July 23, 2023","I have bought ""bargain"" ear buds in the past. Now I don't know why I waited so long to get quality buds like these! The sound is incredible! So very different from the knock offs! These also have true noise canceling and also allow ambient, most of all they really work! Well when they went on sale, I took the plung, and happy I did!"
Seattle Cooks,3.0 out of 5 stars,"Reviewed in the United States on July 26, 2023","tldr; great buds *if* they stay in your ears - would recommend trying before you buy!
I have been wanting galaxy buds for a while now, finally got them but sadly had to return because I could not get them to stay in my ears. Despite using the fit testing feature they were falling out with minimal movement (eg standing from a chair). Otherwise these were much higher quality than my airpods in every other aspect; sound quality was great, they were very noise cancelling (though difficult to have a conversation even without the noise cancelling mode on), and the touch controlling feature were better."
busa,3.0 out of 5 stars,"Reviewed in the United States on September 28, 2022","I will start by saying I only bought these because I dropped my original galaxy buds and lost them. I LOVED the original buds. I wore them 8-10 hours a day every day. Even when Android 12 was released and the Bluetooth started acting weird I loved them. Even when using 1 ear bud at a time started not working properly I still loved them. Mainly because I believe it was the android update that broke them, not the buds breaking.

Fast forward to buying these. The fit is horrible. I have tried all 3 sizes. The large ones made my ear canal itch like crazy. The mediums allow the buds to turn and fit awkwardly and fall out. I didn't attempt the smalls for more than 5 mins.
I have seen many many people say they had to buy foam tips to make them fit right. The old buds hardly ever fell out unless I was doing a bent over exercise at the gym for a couple minutes.

The touch sensors are horrible. I don't know if it's because the fit is bad and I can't hit the right spot, but I have to tap them several times to get them to register that I touched them. Then on the other end they are way too sensitive to non human touch. I was wearing a rain jacket a week ago and the hood kept making the buds start and stop just by barely touching it, but as I said before, my hand barely registers when I touch them.

The sound quality is fine, the noise cancelling is fine, all the functional aspects of them are fine, but the fit is so terrible I don't even know how Samsung released them this way. The touch sensor is so inconsistent I almost wonder how they are the same brand as the originals.

I would not recommend buying these. I would honestly just buy the original buds if I had to go back and do it again."
